Frame,x_idx,y_idx,z_idx,mux,muy,muz,gamma,signal
1,43.84158727,82.00797224,15.5031186,0.5863,-0.65495,0.47674,0.63885,12651
1,25.05208131,45.68686899,15.67265956,0.71063,-0.63179,0.3096,0.9235,17779
1,66.00516027,43.74227082,15.70677715,-0.64501,0.61882,0.44836,0.86415,6833.4
1,69.07589332,46.84127317,43.37616106,0.17876,-0.46907,0.86488,0.46362,4313.8
1,64.29554123,41.83087784,11.86263219,0.059424,-0.013861,0.99814,1,1886.4
1,56.69783269,12.81850816,18.60538164,-0.87996,-0.30415,0.36492,0.81173,2664.7
2,24.76490121,45.50304381,15.69448225,0.67537,-0.68089,0.28332,0.93071,21810
2,43.13306011,80.06950656,15.12881224,0.68881,-0.56098,0.45918,0.72864,9271.9
2,21.43839837,40.85401678,15.44966122,0.81492,-0.12414,0.56612,0.90201,8995.6
2,16.06723305,35.85274541,15.69742884,0.62355,-0.74771,0.22826,0.68904,12145
2,61.25083387,81.24365437,10.09378225,-0.15732,-0.9817,-0.10728,0.34476,11885
2,57.3911034,9.017859013,16.41853508,-0.89643,-0.17726,0.40619,1,2119.6
3,15.63197571,37.08941472,17.0169167,0.51851,-0.84565,0.12656,0.91349,8067.7
3,43.23147913,80.94450843,15.11974812,0.66133,-0.63943,0.39213,0.65494,9334.4
3,21.57301404,41.01735046,15.72698446,0.78086,-0.12494,0.61208,1,12009
3,55.91825837,80.33425071,16.45631721,-0.76487,-0.48271,0.42657,0.45594,4092
3,16.98261962,36.33466952,14.98286941,0.57334,-0.81596,0.074107,0.89039,16735
3,43.45883004,45.17757303,28.12809429,0.43047,-0.13405,0.89259,0.55593,3949.7
3,52.36217599,38.76343539,40.0885472,-0.096309,-0.97763,0.18697,0.60941,5974.6
3,29.09204721,96.76035419,36.61995004,-0.17215,0.60777,0.77523,0.87528,13742
4,21.2888254,40.85506379,15.85974543,0.78388,-0.27354,0.55741,0.99733,15816
4,61.79542905,47.13787636,16.82067697,-0.32768,0.53938,0.77569,0.49241,6609.6
4,51.57244567,41.30587672,38.17700465,0.074637,-0.98982,0.12118,0.68352,5560.4
4,44.71240109,47.01073934,23.12936566,0.73724,0.38258,0.55687,0.70268,3603.8
4,69.8955532,66.51370836,54.11250879,0.12741,-0.7501,0.64894,1,5918.4
4,49.73522593,87.42251372,9.952585369,-0.32276,-0.78764,0.52482,1,4050.1
5,62.58846493,45.7930658,18.63350135,-0.38519,0.51691,0.76448,0.73812,8231.4
5,20.98818374,40.67931555,15.81731158,0.80006,-0.22958,0.55425,1,14171
5,41.3867957,56.1134511,31.3131011,-0.9619,0.1857,-0.20066,0.7188,7154.3
5,42.25491721,43.12124385,30.18382518,0.64339,0.31928,0.69578,0.63225,4983.3
5,53.81092481,43.31942803,39.3077763,0.013548,-0.9336,0.35805,0.71814,7246.5
5,72.61778123,64.12428018,55.4481954,0.1101,-0.66916,0.73492,0.76071,5998.2
5,43.07412836,88.16140419,13.46156723,-0.66136,0.54776,-0.5124,1,469.35
5,40.93867508,94.33128917,15.92380753,-0.29977,0.77767,0.5526,1,3670.9
6,20.98070509,40.52974258,16.01126284,0.80184,-0.20116,0.56266,1,10498
6,48.61849918,41.17514995,42.93043361,0.34836,-0.62908,0.69491,0.77443,5566.8
6,62.59235383,46.97095293,18.79145041,-0.35751,0.36776,0.85845,0.67567,2743
6,83.58596706,88.45307148,15.67393093,0.49999,-0.86497,-0.042908,1,4905.5
