"frame","x [nm]","y [nm]","sigma [nm]","intensity [photon]","offset [photon]","bkgstd [photon]","uncertainty_xy [nm]"
1,7621.53987,21969.43893,183.62368,10334.89957,190.90423,40.67449,10.33473
1,116140.94408,22577.68388,289.79844,49152.82734,0.362,40.2068,5.4465
1,148242.78854,22319.96386,408.91831,69400.63977,0,26.08894,5.13347
1,184537.25213,23499.85495,209.90121,10283.35058,160.69113,27.52232,9.31695
1,184620.61729,23475.35274,210.70903,10313.06118,165.47927,34.01431,11.39982
1,221642.07713,22532.72375,376.98963,30782.81828,91.99633,28.87549,10.40606
1,221708.18659,22438.74397,273.31103,20148.94965,82.61585,19.71484,6.04561
1,257156.37082,22470.55527,250.8397,23445.93829,100.65239,33.16496,7.04436
2,7586.6454,21932.58182,220.02255,19754.58022,99.77252,38.68191,7.44844
2,43155.63297,22350.80693,244.05223,16510.38332,120.39806,35.52728,9.98339
2,79429.87602,22675.88696,268.91898,17005.85058,134.85774,34.44315,11.36297
2,116167.79403,22569.61007,216.47304,19939.7946,104.35075,37.87731,7.01896
2,148215.19574,22299.55072,337.9293,40964.59485,48.52978,29.93867,6.64293
2,148193.98311,22265.33804,421.80535,76626.08302,0.00002,29.71777,5.54878
2,184554.40017,23479.65812,264.11576,19003.43127,101.03233,29.82994,8.6238
2,184661.16656,23447.35237,236.68946,15735.40718,108.9326,27.46034,7.77806
2,221476.70166,22574.48207,406.43163,52896.75959,0.44425,36.06522,8.77148
3,79399.75396,22706.3986,448.20804,96221.24109,10.13962,30.23428,5.09837
3,148274.63825,22286.15243,358.37804,62876.20779,12.19612,35.38651,5.74435
3,184614.04636,23453.06752,196.59365,12153.06796,171.32845,25.59462,6.58517
3,221667.38816,22464.11928,280.18518,18482.80639,157.0963,29.91966,9.94409
3,221659.77829,22410.2761,326.37601,28493.70406,125.67065,23.97806,7.19708
4,7622.06601,21970.04286,221.95477,20507.96414,313.44076,38.11728,7.20743
4,43182.28361,22251.22671,254.27274,19577.60611,314.96256,24.81937,6.61711
4,79422.77436,22658.79164,397.594,116509.97631,0.90544,30.93006,3.49444
4,148193.50098,22295.59973,246.37763,12745.63517,355.70167,34.0752,12.57112
4,148251.47519,22288.43639,396.26661,92761.87756,90.91906,33.24341,4.55348
4,184565.33108,23460.5165,438.73194,131009.67999,35.19644,35.4753,4.2191
4,184615.69516,23481.89518,229.70307,14596.24743,331.61298,34.01485,9.61124
5,43190.77309,22270.25545,248.70581,14039.08868,238.1387,35.57301,12.13695
5,116179.13609,22543.88859,237.07987,25060.23511,169.38661,33.84134,6.05191
5,148209.88168,22341.8642,363.98368,35934.40997,171.66134,29.96684,8.67548
5,257089.89273,22475.98063,386.259,90201.02966,0.36,30.04947,4.08979
5,257094.79932,22475.82869,313.40793,49671.60569,75.13186,29.65319,4.77521
6,148212.29086,22301.8419,270.6461,14254.97398,179.30856,30.8466,12.30682
6,184616.63938,23511.50563,403.10037,72399.49915,17.18926,26.99809,4.94965
6,184602.15897,23412.51372,440.59962,91148.39164,0.00001,29.39143,5.06874
6,184629.91652,23457.31226,217.60569,11470.47432,169.77072,29.40359,9.54913
6,221676.20238,22394.82429,420.47868,71269.21993,0,28.27749,5.65299
6,221655.09648,22498.55068,269.39744,11777.61724,169.99019,28.34675,13.55806
7,7570.90202,21924.06034,218.67991,15496.90773,129.05497,32.15069,7.83966
7,79424.80529,22650.50639,238.88227,16486.48517,108.3187,28.47657,7.824
7,148214.42116,22261.95726,384.19826,58676.90703,3.75024,34.50518,6.84348
7,148304.98636,22326.26228,225.16189,12696.05613,115.62052,34.31152,10.67352
7,184610.52997,23456.94237,294.60258,38336.97447,0.65022,38.51936,6.85318
7,257091.11678,22453.39107,232.69787,21384.54297,77.08306,34.10753,6.8424
7,257160.31506,22462.51769,291.55085,42396.08622,0,33.69343,5.41016
8,7588.59852,21932.25015,275.92505,35416.52632,65.15214,34.41808,5.89232
8,79417.717,22653.63487,362.45804,62958.33454,0.00001,28.86918,4.90135
