"frame","x [nm]","y [nm]","sigma [nm]","intensity [photon]","offset [photon]","bkgstd [photon]","uncertainty_xy [nm]"
1,17276.06742,12334.01245,292.85114,42209.70948,69.43742,38.59926,6.19092
1,52940.27032,12895.0895,192.82823,11875.97929,199.99734,45.89911,11.12766
1,89459.88141,13236.53415,224.48847,14268.47034,165.51558,30.64703,8.53613
1,89554.32292,13179.90609,221.93327,11110.95898,167.43968,50.7472,17.21829
1,126262.16466,12811.68604,348.09753,66952.22792,0.00002,36.19153,5.22736
1,126343.24135,12695.14058,193.10554,11073.56136,185.72697,35.2197,9.29704
1,157829.04101,12467.75649,220.00753,12433.33819,118.60067,35.05109,10.62823
1,158146.71198,12578.07931,218.5631,11175.64435,151.64929,28.46526,9.58246
1,194269.47766,13980.09965,333.75304,56793.38419,16.31745,28.26157,4.54737
1,194285.91311,14011.42781,260.90811,28515.87459,85.08389,35.62705,6.72065
1,231515.18136,13162.56094,272.33292,23253.65038,119.10055,27.89479,7.09568
1,267201.00851,12880.58886,280.34976,48082.28228,0,50.17256,6.39982
2,89462.57788,13241.0544,238.37235,16077.87639,133.2273,37.43268,10.2824
2,194273.15548,13955.1685,259.59502,27842.65243,73.23877,32.61192,6.28638
2,231510.42296,13130.00897,253.26013,20805.90481,115.62372,40.46122,9.68281
2,231512.0757,13176.24401,238.56468,16451.92372,138.77483,40.84199,10.93719
2,267221.33835,12912.07475,304.52731,51513.79289,0.00001,43.13865,6.10219
2,267247.58545,12922.09343,273.62148,31955.68722,101.10924,41.1322,7.53138
2,267262.40786,12882.17434,269.66488,32320.30065,75.15426,40.5678,7.15185
3,17261.36922,12254.56196,273.98295,35816.61054,70.52138,52.13633,8.44846
3,52992.7758,12884.72455,207.43148,12969.18792,180.15396,38.13472,9.861
3,126255.07227,12838.6626,203.70128,13084.21352,174.24382,35.83753,8.908
3,157971.53269,12517.74249,331.47039,39087.4146,49.00341,23.33988,5.3921
3,158008.16421,12475.31708,355.65808,56881.74415,0,27.5744,4.99972
3,194253.0147,13977.54273,326.41107,55690.45696,0.00001,32.57648,5.02142
3,231505.84118,13151.70602,367.49508,63298.89869,0,35.01858,5.92995
3,231536.81531,13127.60803,270.07091,26267.27893,81.05302,37.84077,8.212
3,267169.03272,12942.32656,227.29034,20120.79826,100.31834,38.52205,7.75721
3,267264.42131,12883.49103,191.51062,13046.39646,165.47995,38.26764,8.43845
4,17288.7067,12293.02714,172.78693,11589.75759,389.36624,43.11402,8.68999
4,89449.16625,13241.08657,200.97911,13067.28594,353.02298,38.81817,9.36701
4,126241.21089,12837.29308,205.97182,13391.14393,387.63792,33.48244,8.3537
4,158044.7185,12463.04491,305.18929,33831.16002,285.74264,30.5689,6.69314
4,267213.61179,12915.4271,207.35172,15077.62588,383.05532,29.21703,6.67443
5,52980.26948,12860.98548,250.4358,27909.02284,164.00363,35.69344,6.35757
5,52965.97633,12861.82714,257.56869,20888.73448,243.36032,36.4844,9.04156
5,126235.86922,12852.33671,217.17576,11806.3483,281.31313,36.03781,11.18995
5,126297.88622,12782.20619,387.53227,95355.63798,1.6343,35.2733,4.48188
5,158020.52546,12522.9575,449.72109,117364.73157,1.88848,34.08997,4.72993
5,194270.92241,14002.08864,229.40353,17782.69771,208.97087,42.46852,9.75348
5,231547.57248,13169.66815,267.02908,18879.49342,218.74127,28.45625,8.48725
5,267223.3988,12915.45036,233.13658,19053.21388,238.57292,37.73972,8.42181
6,17302.88556,12248.55456,189.51313,10990.54096,226.51387,46.21709,11.68484
6,17281.50102,11748.44978,413.77713,52187.27669,40.68703,25.21715,6.64612
6,52988.81844,12903.8676,337.3286,65435.45331,0.00002,42.60503,5.83195
6,89478.46102,13273.38672,239.04596,20581.72555,133.6363,30.12815,6.6754
6,89557.04329,13388.09193,231.65358,11239.37988,192.45101,26.14081,9.84527
6,126258.11398,12894.36296,414.27645,94587.70869,0,31.81892,4.67647
6,126209.23978,12764.61935,433.45441,105573.27322,0.00001,43.50514,6.07048
6,158065.15476,12531.87499,353.46135,63777.81409,0,35.04561,5.47389
6,194272.42923,13977.4924,203.92807,10796.68409,209.22647,39.3986,11.76496
6,231540.57473,13107.07399,327.70529,55963.30294,0,29.21464,4.58403
6,267156.05432,12972.73374,224.91501,16515.68493,157.49019,32.78866,7.9222
6,267228.30626,12864.12675,253.37345,20476.63445,184.67376,38.07856,9.29575
7,17266.84445,12303.81499,201.98941,11809.04021,234.20968,46.5059,12.39944
7,89426.65918,13239.5665,237.27966,18789.93441,134.62442,38.77435,9.05612
7,89598.38435,13372.00751,381.42297,62253.11337,28.55206,28.81429,5.43647
7,126203.4361,12872.31224,248.79971,18063.3797,182.03759,30.83411,8.32814
7,194126.21014,13984.39683,268.50659,18141.3264,145.13547,32.54819,10.09024
7,194154.20481,13951.46927,262.70043,16153.05,163.57235,32.39614,10.77743
8,17276.573,12293.09785,206.43321,15534.08709,203.23452,36.51394,7.87948
8,126233.17435,12856.21337,206.39749,16098.82983,178.00409,47.66387,9.77472
8,158027.41208,12523.42772,294.13963,16894.01558,202.26996,40.69597,15.9712
8,158025.16325,12507.17808,431.86616,90985.94688,0,36.69956,5.95064
