"frame","x [nm]","y [nm]","sigma [nm]","intensity [photon]","offset [photon]","bkgstd [photon]","uncertainty_xy [nm]"
1,4746.67142,4787.75065,184.74458,10523.16368,128.20078,40.67902,10.27547
1,6277.74664,6177.21877,280.92431,41930.30476,0,38.95498,5.80517
1,14723.68485,6716.27438,231.73273,12564.08679,102.22044,31.10834,10.39557
1,24115.0191,6677.70002,270.16795,17766.34493,86.00245,35.36873,11.26655
1,25153.20704,6133.07204,236.26263,13935.22851,103.16784,32.15074,10.06629
1,25174.75066,6211.21234,231.30917,10863.15326,132.89909,40.73414,15.42437
1,33038.00731,4726.44346,259.90764,33992.22035,0.00002,40.28025,6.3088
1,34594.73593,6150.60969,208.31921,20696.54982,58.83681,49.07516,8.00929
1,41004.01174,7094.14418,221.38032,12249.74029,60.29767,26.11928,8.31451
1,41054.03575,7133.19747,312.1749,29398.59201,22.40099,31.63319,8.24133
1,41045.54782,7150.54369,331.38202,35393.67508,6.44612,27.965,6.91774
1,42475.03559,4736.52257,353.74068,41340.41215,0,26.13295,6.36296
1,42993.68274,6683.12956,293.4611,37248.61526,0,51.25495,9.14241
1,42987.60833,6691.01541,306.41359,39874.79663,0.4168,51.16975,9.28887
1,44007.10231,6136.4255,314.41621,39935.42397,0,34.14151,6.68246
1,50582.74961,7107.14605,266.965,23141.33043,6.06625,25.7029,6.38733
1,53438.47599,6194.46389,326.90218,37483.39697,0,30.43044,6.88737
1,53485.05192,6195.76506,282.40211,23060.16498,40.88502,29.49408,8.05673
1,53481.97609,6200.97112,332.19473,37709.35189,0,27.55024,6.45988
1,59956.24524,7030.04128,347.08356,32231.34925,0.00002,23.76741,7.13724
1,61315.92832,4818.14997,358.00534,26144.34197,39.99317,28.88574,11.03296
1,61384.20068,4721.7733,265.62272,18267.45446,29.44347,19.72623,6.28207
1,61679.00635,6677.19938,241.77519,15183.09809,46.7217,35.73545,10.69386
1,61823.26034,6663.49084,357.23307,37625.90109,11.27126,28.36586,7.62106
1,61797.8855,6672.76639,299.91437,16682.62564,87.33833,30.40186,12.70866
1,62885.96961,6153.14716,250.57953,17843.29358,49.79597,36.85051,10.08334
1,69328.55876,7122.45934,241.96201,23405.36989,0.19003,27.7109,5.61965
1,70759.25391,4753.55202,247.9365,22608.45415,43.21012,33.1678,7.13447
1,71220.08981,6670.88785,308.49249,39397.55857,0.00001,34.69021,6.62431
1,71191.36766,6696.72477,253.63152,22457.82516,55.50426,33.564,7.57894
1,72272.90013,6167.48743,261.93726,33395.78256,0.00001,39.92503,6.45993
2,4711.40712,4750.5417,218.79596,19391.91516,55.22141,38.68941,7.50329
2,5287.72028,6781.48999,257.14472,28207.30956,24.41971,52.94026,9.56965
2,12838.59143,7147.95988,260.77178,19573.1241,46.07609,29.95868,8.21455
2,12823.94482,7040.51107,359.92132,45143.72765,0,37.32485,8.35124
2,14137.89381,4834.8082,249.39881,17637.95263,68.44058,35.54979,9.76927
2,15765.82347,6158.36168,243.25761,17751.38341,72.4116,27.83429,7.39375
2,23603.71047,4757.69232,263.29539,15945.62232,92.06462,34.45095,11.61486
2,31680.33897,7072.97718,242.9241,24073.22505,23.58758,44.53147,8.48715
2,33064.55091,4719.15198,216.15587,19842.46369,58.16663,37.88186,7.03312
2,33587.996,6666.43391,260.66048,33020.83421,0.00002,40.05447,6.48892
2,41023.36337,7162.62562,256.63902,21089.18658,23.70065,27.34419,6.83763
2,41059.41573,7177.6958,363.13185,44287.30236,0,28.14624,6.68845
2,42447.63564,4715.84758,329.84223,37756.46913,10.41335,29.94461,6.85703
2,42427.02138,4683.97571,376.78546,51997.63196,0.00001,29.77392,6.47742
2,42996.12883,6749.37681,257.54827,23290.70593,47.26441,26.94773,6.18856
2,44005.30593,6149.18846,357.15132,48671.94111,1.20594,31.29363,6.5166
2,50579.35226,7094.77571,234.57692,15791.48766,34.62078,31.61346,8.66525
2,51844.13166,4759.0461,265.05851,19154.7169,54.01337,29.83393,8.61791
2,51950.10576,4727.73026,247.57777,18268.11322,49.26654,27.47061,7.3508
2,53491.3713,6227.35993,214.01937,11301.10322,81.66039,31.65648,10.04938
2,61153.78986,4857.26081,353.82815,32041.90297,0,36.0856,10.91258
2,61834.25275,6658.5877,377.35489,42501.42073,0.00001,30.57562,8.06127
2,61813.03423,6680.12313,398.24616,46686.42821,0.00002,31.77978,8.46145
2,69266.95346,7103.19943,226.39409,19680.05872,13.48955,27.95115,5.88498
2,71243.68453,6702.78782,264.8181,31163.53725,0,33.06727,5.93914
2,72236.10369,6179.85728,204.98896,13796.82562,96.0759,24.05796,5.9891
3,6268.46595,6152.62199,227.18305,20163.41814,126.67323,43.34773,8.63684
3,12885.30034,7006.19256,228.34448,16773.62119,105.25071,32.87737,8.05351
3,22170.81007,7134.52563,465.16548,89787.83326,0,39.08219,7.35731
3,23574.34105,4788.22112,415.05786,73075.8636,2.82753,30.24366,5.71618
3,25177.77412,6200.09951,235.64327,18216.41314,117.56584,31.87721,7.68
3,33594.98021,6726.71483,345.58851,65621.90151,0.00001,45.22599,6.43579
3,41144.74144,7131.66428,251.84391,15032.59763,114.4653,30.82875,10.17011
3,42506.77958,4702.81315,335.01863,49381.11595,1.27358,35.39623,6.36236
3,43028.99333,6720.25998,255.78265,21290.86017,110.82142,29.34212,7.17215
3,44007.85358,6157.08512,238.69725,14298.97968,154.44776,34.74801,10.77041
3,44014.40991,6158.79327,269.03293,21579.15518,116.91736,33.0918,8.69964
3,50640.28918,7122.00676,298.47704,26756.87049,66.13687,24.30642,6.53782
3,50637.94825,7127.1524,286.70992,22014.61369,87.27612,22.3588,6.77002
3,51902.67566,4733.25836,197.90096,12396.33875,122.83983,25.59901,6.54493
3,52458.19472,6742.80308,228.82053,11730.31431,148.05642,34.03578,11.80022
3,53435.93333,6140.6956,250.74918,12319.00545,167.24426,29.16252,11.60776
3,59852.31567,7049.52921,428.78035,62483.19982,0,23.7854,5.70815
3,59946.52686,6956.39676,292.2806,16539.40497,103.76879,22.62826,9.28539
3,61344.26073,4746.48496,349.50359,40703.58015,39.47455,29.92603,7.12037
3,61336.05197,4692.71901,326.35185,28465.92975,79.03758,23.98186,7.20369
3,61837.30024,6724.25176,388.29907,59272.95532,0.74492,27.35513,5.62448
3,61902.35396,6600.70345,285.56765,21479.16698,83.97402,26.64464,8.03075
3,62846.92936,6102.66016,310.97472,30296.86238,64.4708,31.57736,7.9355
3,62928.74294,6073.24197,251.73371,18297.09337,83.76837,22.95905,6.46578
3,69273.07046,7113.40743,303.72683,42747.84445,0.00001,31.87529,5.5191
4,3379.86855,7142.4538,229.19463,16871.57186,128.08005,36.01542,8.77575
4,4747.0511,4788.04629,215.05542,18625.93978,129.88606,38.13687,7.44758
4,5311.2207,6787.18831,334.01749,60720.84033,0,33.45177,4.94751
4,6265.42225,6199.75072,298.18934,55616.75197,0,52.81216,6.56805
4,14166.42102,4734.2017,247.034,17892.75065,128.0147,24.82641,6.82412
4,14750.57749,6713.09864,247.75596,15460.32303,157.16929,26.31273,8.29739
